species,Ww_i_g,Wd_i_g,L_i_cm
Alloteuthis_subulata,29817.4,6261.66,26.1871
Allothunnus_fallai,13776.0,2755.2,18.124
Alona_iheringula,1.73007e-5,2.94112e-6,0.017268
Alonella_excisa,1.45602e-5,2.47523e-6,0.019549
Alophoixus_bres,35.4469,9.92514,1.669
Alophoixus_ochraceus,41.5202,11.6257,1.3793
Alopias_pelagicus,129157.0,25831.4,30.8957
Alopias_superciliosus,235291.0,47058.2,29.0071
Alopias_vulpinus,272876.0,54575.2,34.7135
Alosa_aestivalis,239.897,47.9793,4.38946
Alosa_alabamae,3168.66,633.732,9.41991
Alosa_alosa,5011.86,1002.37,3.46369
Alosa_chrysochloris,1630.04,326.008,9.2396
Alosa_fallax,1573.46,314.692,4.58045
Alosa_immaculata,757.325,151.465,3.40242
Alosa_kessleri,1609.24,321.847,3.49758
Alosa_killarnensis,73.4084,14.6817,3.64133
Alosa_mediocris,4206.98,841.396,7.64092
Alosa_pseudoharengus,645.059,129.012,5.43111
Alosa_sapidissima,3561.33,712.265,6.37248
Alosa_saposchnikowii,491.054,98.2108,3.47845
Alouatta_palliata,6876.0,2062.8,15.4888
Alphestes_immaculatus,1027.78,205.557,6.67135
Alpinocottus_poecilopus,35.8267,7.16533,2.34752
Alticola_argentatus,54.1823,16.2547,1.0455
Alticola_strelzowi,50.2341,15.0702,1.3061
Aluterus_monoceros,5269.58,1053.92,7.9176
Alytes_cisternasii,4.48813,1.25668,1.0001
Alytes_muletensis,5.09664,1.42706,1.5987
Alytes_obstetricans,5.45594,1.52766,1.60578
Amadina_erythrocephala,23.2225,6.5023,1.461
Amadina_fasciata,17.776,4.97729,1.0632
Amandava_subflava,7.33432,2.05361,1.205
Amarilladesma_mactroides,11.6074,1.04467,1.84546
Amatitlania_nigrofasciata,35.9748,7.19496,2.7663
Amaurornis_phoenicurus,201.079,56.3022,3.2933
Amazona_aestiva,468.909,131.294,3.3224
Amazona_agilis,210.722,59.0023,2.5559
Amazona_amazonica,427.388,119.669,3.1251
Amazona_finschi,419.361,117.421,3.1101
Ambassis_agassizii,13.4816,2.69631,2.1409
Ambassis_gymnocephalus,56.0858,11.2172,2.9393
Ambigolimax_valentianus,3.76311,0.564466,0.914191
Ambiserrula_jugosa,19.4281,3.88561,2.54447
Amblema_plicata,54.4941,4.90447,2.07866
Ambloplites_constellatus,327.302,65.4604,5.30273
Ambloplites_rupestris,590.576,118.115,6.81342
Amblycercus_holosericeus,74.7198,20.9215,1.2713
Amblygaster_sirm,197.315,39.4631,3.08755
Amblygobius_bynoensis,10.0753,2.01506,1.6903
Amblygobius_phalaena,29.2959,5.85919,2.4814
Amblyopsis_rosae,3.38229,0.676458,1.3486
Amblyopsis_spelaea,7.38184,1.47637,1.7173
Amblypharyngodon_melettinus,11.7309,2.34618,2.08844
Amblypharyngodon_mola,93.5375,18.7075,3.83791
Amblyraja_georgiana,15595.8,3119.17,11.1753
Amblyraja_hyperborea,11331.1,2266.21,12.8019
Amblyraja_radiata,10583.8,2116.76,10.902
Amblyramphus_holosericeus,50.7758,14.2172,2.0485
Amblyrhynchus_cristatus,5640.86,1692.26,14.5838
Amblysomus_hottentotus,61.1253,18.3376,1.8178
Ambystoma_gracile,26.354,7.37912,2.7045
Ambystoma_jeffersonianum,7.24381,2.02827,1.6897
Ambystoma_macrodactylum,15.7007,4.39621,2.2483
Ambystoma_maculatum,12.8735,3.60458,2.1406
Ambystoma_mexicanum,113.032,31.649,4.435
Ambystoma_opacum,1.29003,0.361208,0.88301
Ambystoma_texanum,16.0531,4.49487,1.0447
Ambystoma_tigrinum,126.068,35.2991,3.8575
Ameiurus_catus,10152.9,2030.58,13.8161
Ameiurus_melas,3940.84,788.168,13.9437
Ameiurus_natalis,1738.25,347.651,10.3034
Ameiurus_nebulosus,2109.72,421.944,11.957
Americamysis_almyra,0.00293813,0.000499482,0.128423
Americamysis_bahia,0.0125466,0.00213292,0.131241
Ametrida_centurio,11.9312,3.57936,0.73832
Amia_calva,3898.77,779.753,6.299
