chemical_cas,chemical,species,n_records,LC50_ugL,amp_k_M,amp_p_M,amp_L_m
1563662,Carbofuran,Anabas_testudineus,5,990.0,0.05094456213524228,266.3508,0.5224
1563662,Carbofuran,Artemia_salina,1,1110.0,0.09278276996816942,413.4776,0.15956
1563662,Carbofuran,Branchiura_sowerbyi,1,7200.0,0.5360302089438875,2240.8514,0.2359
1563662,Carbofuran,Carassius_auratus,2,7900.0,0.0033209014876856235,17.3679,10.3766
1563662,Carbofuran,Ceriodaphnia_dubia,4,2.5648,0.2937497576803086,1306.1892,0.024220000000000002
1563662,Carbofuran,Channa_punctata,2,487.0,0.0031511837971466617,16.4884,5.893
1563662,Carbofuran,Chironomus_riparius,2,39.028,0.036122964519984355,145.1326,0.61942
1563662,Carbofuran,Cirrhinus_mrigala,6,753.39,0.0031715838868482827,16.5913,1.9455999999999998
1563662,Carbofuran,Clarias_batrachus,4,1874.4,0.006903925484291505,36.023,6.5515
1563662,Carbofuran,Ctenopharyngodon_idella,1,2710.0,0.03824004224952543,199.8171,2.0618
1563662,Carbofuran,Cyprinodon_variegatus,1,386.0,0.020150287413280475,101.6582,0.70494
1563662,Carbofuran,Cyprinus_carpio,15,1400.0,0.06982722921827558,364.5424,6.3743
1563662,Carbofuran,Danio_rerio,1,1340.0,0.04613294198584298,243.001,0.22178
1563662,Carbofuran,Daphnia_magna,4,71.273,0.2727272727272727,1200.0,0.1516
1563662,Carbofuran,Daphnia_pulex,2,39.686,0.35948741007194246,1599.0,0.1426
1563662,Carbofuran,Eisenia_fetida,4,19011.0,1.1336905808852944,4740.8319,0.3431
1563662,Carbofuran,Euphlyctis_hexadactylus,4,141350.0,0.006356155620209388,46.4358,4.7914
1563662,Carbofuran,Gambusia_affinis,5,570.0,0.02527337432886779,132.0429,1.0436
1563662,Carbofuran,Gammarus_pseudolimnaeus,1,3.76,0.027952071355678957,123.995,0.14742
1563662,Carbofuran,Gammarus_pulex,5,9.0,0.0726239259410423,323.3844,0.11140000000000001
1563662,Carbofuran,Heteropneustes_fossilis,2,3834.1,0.0061944643894627635,32.2586,4.6861
1563662,Carbofuran,Hypophthalmichthys_nobilis,1,2370.0,0.0023146798182161294,12.1492,5.0607
1563662,Carbofuran,Ictalurus_punctatus,18,494.77,0.008979980036101785,50.9177,0.65076
1563662,Carbofuran,Labeo_rohita,6,2202.4,0.014343846513058733,74.8928,5.5876
1563662,Carbofuran,Lepomis_cyanellus,3,170.0,0.0037160193295336682,19.3636,8.6443
1563662,Carbofuran,Lepomis_macrochirus,10,297.99,0.0047639051563901,24.8933,4.417700000000001
1563662,Carbofuran,Menidia_menidia,3,36.0,0.14659403773578844,766.3101,0.36940999999999996
1563662,Carbofuran,Microhyla_ornata,3,13470.0,0.003832620224131657,28.0146,1.1181
1563662,Carbofuran,Morone_saxatilis,6,169.71,0.08174021854849561,428.2813,12.064
1563662,Carbofuran,Oncorhynchus_kisutch,2,530.0,0.11114117891634795,600.0,1.1834
1563662,Carbofuran,Oncorhynchus_mykiss,8,604.98,0.06539736492652932,343.8644,4.3981
1563662,Carbofuran,Oreochromis_mossambicus,2,3751.7,0.0025498337005197746,13.3524,6.101
1563662,Carbofuran,Oreochromis_niloticus,17,480.0,0.029413401117989325,153.7862,6.9596
1563662,Carbofuran,Oryzias_latipes,1,1810.0,0.06987798696149031,363.9773,0.18883
1563662,Carbofuran,Perca_flavescens,5,275.0,0.015843095558388757,82.7632,5.8403
1563662,Carbofuran,Pimephales_promelas,9,1180.0,0.0567493727280711,334.7915,0.20018
1563662,Carbofuran,Platygobio_gracilis,2,2274.7,0.003935474813580558,20.5871,4.0703
1563662,Carbofuran,Poecilia_reticulata,2,553.17,0.011307274615239863,59.0125,0.72018
1563662,Carbofuran,Procambarus_clarkii,1,2697.0,1.0418922898925578,4632.1183,1.0486
1563662,Carbofuran,Salmo_trutta,4,445.87,0.015451520580829183,80.7627,8.6375
1563662,Carbofuran,Salvelinus_namaycush,2,164.0,0.006796700098517356,35.5698,4.1985
1563662,Carbofuran,Tigriopus_brevicornis,3,36.5,0.0048466118533512514,21.4773,0.95804
2921882,Chlorpyrifos,Aedes_aegypti,41,12.0,1.9238071189303336,8430.0545,0.012842
2921882,Chlorpyrifos,Ambystoma_mexicanum,1,1360.0,0.003489037445886314,25.3536,4.435
2921882,Chlorpyrifos,Americamysis_bahia,7,0.045,0.48524754580446533,2097.09,0.082353
2921882,Chlorpyrifos,Anas_platyrhynchos,1,644000.0,0.018956407432358675,138.0724,6.2067
2921882,Chlorpyrifos,Anguilla_anguilla,4,638.04,0.004352743515000758,22.7992,11.9437
2921882,Chlorpyrifos,Aphanius_dispar,1,2.5,0.050023162794035604,260.9702,1.0532
2921882,Chlorpyrifos,Aphanius_iberus,2,26.366,0.597632579599288,3124.5408,0.47352
2921882,Chlorpyrifos,Artemia_salina,6,248.19,0.09278276996816942,413.4776,0.15956
2921882,Chlorpyrifos,Asellus_aquaticus,4,7.313,0.11903396386004811,527.5728,0.15173
2921882,Chlorpyrifos,Bombyx_mori,7,3450.0,0.023386082148151393,103.0326,0.6746699999999999
2921882,Chlorpyrifos,Brachionus_plicatilis,4,1797.2,3.1059693873952097,4843.5201,0.007584200000000001
2921882,Chlorpyrifos,Branchiura_sowerbyi,2,66.0,0.5360302089438875,2240.8514,0.2359
2921882,Chlorpyrifos,Bulinus_truncatus,1,1320.0,0.021888775723203968,85.0951,0.8197899999999999
2921882,Chlorpyrifos,Caenorhabditis_elegans,1,966.0,2.056379072335726,3724.1025,0.0050061
