amp_key,comadre_species,k_M,lambda_A0,g,comadre_log_damping,generation_time,class,order,family
Nipponia_nippon,Nipponia nippon,0.00699769339517349,0.00699769339517349,1.0,0.1709,4.5828,Aves,Pelecaniformes,Threskiornithidae
Noturus_stigmosus,Noturus stigmosus,0.016807581254164507,0.016807581254164507,1.0,0.20199,2.5923,Actinopterygii,Siluriformes,Ictaluridae
Odocoileus_virginianus,Odocoileus virginianus,0.003346325387360967,0.004775134176872705,1.5550719704009754,0.84034,7.964,Mammalia,Artiodactyla,Cervidae
Oligocottus_maculosus,Oligocottus maculosus,0.014951263710641477,0.01725705628944017,1.2004867555312282,0.05047,,Actinopterygii,Scorpaeniformes,Cottidae
Oncorhynchus_gilae,Oncorhynchus gilae,0.017257225578188377,0.023710233726226465,1.4861100386294055,0.11237,3.2537,Actinopterygii,Salmoniformes,Salmonidae
Oncorhynchus_tshawytscha,Oncorhynchus tshawytscha,0.004368308829635956,0.007157912183912003,1.8301803974928859,0.02623,4.6539,Actinopterygii,Salmoniformes,Salmonidae
Onychogalea_fraenata,Onychogalea fraenata,0.009077285579641848,0.009077285579641848,1.0,0.11976,6.4855,Mammalia,Diprotodontia,Macropodidae
Opsopoeodus_emiliae,Opsopoeodus emiliae,0.015077478096388711,0.02680490741772461,2.011154386713269,0.74086,1.2188,Actinopterygii,Cypriniformes,Cyprinidae
Orcinus_orca,Orcinus orca,0.0006225064994016423,0.0006225064994016423,1.0,0.01916,29.8375,Mammalia,Cetacea,Delphinidae
Otus_scops,Otus Otus scops,0.01097953136146628,0.01097953136146628,1.0,0.41239,1.835,Aves,Strigiformes,Strigidae
Ovis_aries,Ovis aries,0.0032665043677502508,0.0032665043677502508,1.0,0.24808,9.8291,Mammalia,Artiodactyla,Bovidae
Ovis_canadensis,Ovis canadensis,0.0034394499155551424,0.0037020453606391875,1.099252522057487,0.40061,9.7484,Mammalia,Artiodactyla,Bovidae
Pan_troglodytes,Pan troglodytes schweinfurthii,0.001006387446771277,0.001006387446771277,1.0,0.05484,41.4417,Mammalia,Primates,Hominidae
Panthera_pardus,Panthera pardus,0.004594871302646642,0.006225891691396059,1.4614550366520465,0.24871,9.5711,Mammalia,Carnivora,Felidae
Papio_cynocephalus,Papio cynocephalus,0.006453549881337032,0.006453549881337032,1.0,0.11038,22.8372,Mammalia,Primates,Cercopithecidae
Parus_major,Parus major,0.019650262303272544,0.019650262303272544,1.0,0.11369,7.7306,Aves,Passeriformes,Paridae
Pelagia_noctiluca,Pelagia noctiluca,0.03223812849162011,0.03223812849162011,1.0,0.15697,6.3993,Scyphozoa,Semaeostomeae,Pelagiidae
Pernis_apivorus,Pernis apivorus,0.0075576170459486875,0.0075576170459486875,1.0,0.2604,9.0015,Aves,Accipitriformes,Accipitridae
Peromyscus_maniculatus,Peromyscus maniculatus,0.027435657463734206,0.027435657463734206,1.0,0.24092,5.1603,Mammalia,Rodentia,Muridae
Petauroides_volans,Petauroides volans,0.005688350983358548,0.005688350983358548,1.0,0.4381,10.6346,Mammalia,Diprotodontia,Pseudocheiridae
Petromyzon_marinus,Petromyzon marinus,0.0023315874586662165,0.0023315874586662165,1.0,0.09275,5.0559,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae
Phacochoerus_aethiopicus,Phacochoerus aethiopicus,0.002044894426185788,0.005901371792024256,3.451676972361466,0.08037,6.6229,Mammalia,Artiodactyla,Suidae
Phalacrocorax_auritus,Phalacrocorax auritus,0.005568651397511859,0.007110399366209565,1.3599206012792524,0.24959,9.3013,Aves,Suliformes,Phalacrocoracidae
Phalacrocorax_carbo,Phalacrocorax carbo,0.005994286918448102,0.005994286918448102,1.0,0.35397,8.3396,Aves,Pelecaniformes,Phalacrocoracidae
Phascolarctos_cinereus,Phascolarctos cinereus,0.008481610914296224,0.008481610914296224,1.0,0.0836,10.2443,Mammalia,Diprotodontia,Phascolarctidae
Phoca_vitulina,Phoca vitulina,0.0012294119104854899,0.0012294119104854899,1.0,0.07987,13.6527,Mammalia,Carnivora,Phocidae
Phocarctos_hookeri,Phocarctos hookeri,0.0006973220298696669,0.0006973220298696669,1.0,0.08778,10.4204,Mammalia,Carnivora,Otariidae
Phoebastria_immutabilis,Phoebastria immutabilis,0.00425198986975398,0.00425198986975398,1.0,0.09789,20.5053,Aves,Procellariiformes,Diomedeidae
Physeter_macrocephalus,Physeter macrocephalus,0.0005532138413904241,0.0005532138413904241,1.0,0.13001,31.9434,Mammalia,Cetacea,Physeteridae
Pimephales_promelas,Pimephales promelas,0.0567493727280711,0.17645667679784957,3.742224060103747,0.25076,3.0538,Actinopterygii,Cypriniformes,Cyprinidae
Podocnemis_expansa,Podocnemis expansa,0.001425423595430799,0.001425423595430799,1.0,0.0138,26.6343,Reptilia,Testudines,Podocnemididae
Poecilia_reticulata,Poecilia reticulata,0.011307274615239863,0.01281376441116327,1.173201483234595,0.17189,9.3205,Actinopterygii,Cyprinodontiformes,Poeciliidae
Propithecus_verreauxi,Propithecus verreauxi,0.0033138399371422157,0.0033138399371422157,1.0,0.14646,22.8784,Mammalia,Primates,Indriidae
Pseudocheirus_peregrinus,Pseudocheirus peregrinus,0.005907090064082878,0.005907090064082878,1.0,0.06265,,Mammalia,Diprotodontia,Pseudocheiridae
Puma_concolor,Puma concolor,0.0027285428350607398,0.0027285428350607398,1.0,0.11197,4.8665,Mammalia,Carnivora,Felidae
Pygoscelis_adeliae,Pygoscelis adeliae,0.004735468981260819,0.004735468981260819,1.0,0.67701,8.3309,Aves,Sphenisciformes,Spheniscidae
Pylodictis_olivaris,Pylodictis olivaris,0.00107240194848456,0.00107240194848456,1.0,0.17975,13.0849,Actinopterygii,Siluriformes,Ictaluridae
Rana_temporaria,Rana temporaria,0.015486459378134403,0.015486459378134403,1.0,0.17044,3.956,Amphibia,Anura,Ranidae
Rangifer_tarandus,Rangifer tarandus,0.004873038228235229,0.006418274998172824,1.412229025678373,0.17205,7.475,Mammalia,Artiodactyla,Cervidae
Rattus_fuscipes,Rattus fuscipes,0.008591549295774648,0.008591549295774648,1.0,0.00799,2.0224,Mammalia,Rodentia,Muridae
Rhinichthys_cataractae,Rhinichthys cataractae,0.004464758300463626,0.008716365226887672,2.237936889837311,0.3524,3.2511,Actinopterygii,Cypriniformes,Cyprinidae
Rissa_tridactyla,Rissa tridactyla,0.00969597822625011,0.00969597822625011,1.0,0.14494,11.047,Aves,Charadriiformes,Laridae
Rutilus_rutilus,Rutilus rutilus,0.002456915965390542,0.002456915965390542,1.0,0.13542,6.002,Actinopterygii,Cypriniformes,Cyprinidae
Salmo_salar,Salmo salar,0.0027762587064676615,0.005382831480438229,2.2205435315763893,0.26868,4.2,Actinopterygii,Salmoniformes,Salmonidae
Salvelinus_fontinalis,Salvelinus fontinalis,0.005956727972434779,0.005956727972434779,1.0,0.38677,2.846,Actinopterygii,Salmoniformes,Salmonidae
Salvelinus_malma,Salvelinus malma,0.003420136009288439,0.003420136009288439,1.0,0.04585,7.0145,Actinopterygii,Salmoniformes,Salmonidae
Sceloporus_grammicus,Sceloporus grammicus,0.012337044359692122,0.013724507066437637,1.1462020777571544,0.47027,3.7528,Reptilia,Squamata,Phrynosomatidae
Sigmodon_hispidus,Sigmodon hispidus,0.01249800549596667,0.01249800549596667,1.0,0.24747,2.7145,Mammalia,Rodentia,Muridae
Somateria_mollissima,Somateria mollissima,0.008521975737878386,0.008521975737878386,1.0,0.41515,13.5808,Aves,Anseriformes,Anatidae
Spermophilus_dauricus,Spermophilus dauricus,0.009405999096312258,0.009405999096312258,1.0,0.16539,3.868,Mammalia,Rodentia,Sciuridae
Sterna_hirundo,Sterna hirundo,0.014827412022225964,0.014827412022225964,1.0,0.21469,12.7522,Aves,Charadriiformes,Laridae
Sternula_antillarum,Sternula antillarum browni,0.015259134615384617,0.015259134615384617,1.0,0.10996,6.6797,Aves,Charadriiformes,Laridae
Strix_occidentalis,Strix occidentalis,0.0027091077425076254,0.010136301686944318,4.564034008787867,0.44513,6.4684,Aves,Strigiformes,Strigidae
Sus_scrofa,Sus scrofa,0.0038910571937751668,0.0049252604009457504,1.3455267045348511,0.21806,6.3713,Mammalia,Artiodactyla,Suidae
Tachycineta_bicolor,Tachycineta bicolor,0.01950780660514249,0.01950780660514249,1.0,16.0717,1.6556,Aves,Passeriformes,Hirundinidae
Tamiasciurus_hudsonicus,Tamiasciurus hudsonicus,0.01022659962807356,0.01022659962807356,1.0,0.25138,2.9101,Mammalia,Rodentia,Sciuridae
Thalia_democratica,Thalia democratica,0.6846549948506694,0.6846549948506694,1.0,0.27979,4.9632,Thaliacea,Salpida,Salpidae
Theropithecus_gelada,Theropithecus gelada,0.0012781992950571738,0.0012781992950571738,1.0,0.16457,16.4288,Mammalia,Primates,Cercopithecidae
Turdus_torquatus,Turdus torquatus,0.018771958294454136,0.018771958294454136,1.0,0.598,3.5068,Aves,Passeriformes,Turdidae
Urocitellus_armatus,Urocitellus armatus,0.02134473730144877,0.02134473730144877,1.0,0.68701,1.8024,Mammalia,Rodentia,Sciuridae
Urocitellus_beldingi,Urocitellus beldingi,0.014670681950650863,0.014670681950650863,1.0,0.27339,3.3411,Mammalia,Rodentia,Sciuridae
Urocitellus_columbianus,Urocitellus columbianus,0.019240555951532432,0.019240555951532432,1.0,0.14372,4.7055,Mammalia,Rodentia,Sciuridae
Ursus_americanus,Ursus americanus,0.005191878013405982,0.005191878013405982,1.0,0.20724,8.9648,Mammalia,Carnivora,Ursidae
Ursus_arctos,Ursus arctos,0.003967773200872305,0.003967773200872305,1.0,0.05291,11.2379,Mammalia,Carnivora,Ursidae
Ursus_maritimus,Ursus maritimus,0.002058218644786795,0.002058218644786795,1.0,0.21855,26.1898,Mammalia,Carnivora,Ursidae
Vipera_aspis,Vipera aspis,0.006268824429509452,0.006268824429509452,1.0,0.15566,9.2207,Reptilia,Squamata,Viperidae
Vulpes_vulpes,Vulpes vulpes,0.008200590667454223,0.008200590667454223,1.0,0.59721,1.9395,Mammalia,Carnivora,Canidae
Xenosaurus_grandis,Xenosaurus grandis,0.0025856841984639944,0.004239942074557059,1.83170838890476,0.26197,5.3354,Reptilia,Squamata,Xenosauridae
Xenosaurus_platyceps,Xenosaurus platyceps,0.004889222575752322,0.0049561138383954675,1.0177857808861788,0.23397,7.6017,Reptilia,Squamata,Xenosauridae
Zalophus_californianus,Zalophus californianus,0.0010295765336302586,0.0010295765336302586,1.0,0.50012,9.4632,Mammalia,Carnivora,Otariidae
Zenaida_macroura,Zenaida macroura,0.014253232911752166,0.014253232911752166,1.0,0.27967,2.9896,Aves,Columbiformes,Columbidae
Zingel_asper,Zingel asper,0.017881152845385304,0.0778418986889273,5.3592809854383265,0.27587,2.8965,Actinopterygii,Perciformes,Percidae
Zoarces_viviparus,Zoarces viviparus,0.00784761416110826,0.00784761416110826,1.0,0.11983,4.456,Actinopterygii,Perciformes,Zoarcidae
Zootoca_vivipara,Zootoca vivipara,0.021868961074813658,0.021868961074813658,1.0,0.53647,1.9626,Reptilia,Squamata,Lacertidae
