63252,22,Oncorhynchus_tshawytscha,Fish;Standard Test Species;U.S. Threatened and Endangered Species,2690
121755,3008,Biomphalaria_havanensis,Molluscs,94780
63252,2989,Cambarus_bartonii,Crustaceans,3580
2921882,16837,Spodoptera_exigua,Insects/Spiders,403000000
2921882,16837,Spodoptera_exigua,Insects/Spiders,418000
121755,421,Artemia_sp.,Crustaceans,13804000
121755,210,Culex_pipiens,Insects/Spiders,1060
121755,2857,Culex_fatigans,Insects/Spiders,1000
63252,97,Gasterosteus_aculeatus,Fish;Standard Test Species,4940
2921882,128,Tilapia_sp.,Fish,1774
121755,5947,Aphytis_melinus,Insects/Spiders,780
121755,342,Eretes_sticticus,Insects/Spiders,430
2921882,1258,Daphnia_ambigua,Crustaceans,0.039
63252,8,Daphnia_pulex,Crustaceans;Standard Test Species,50.51
2921882,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,110
63252,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,2200
63252,1,Pimephales_promelas,Fish;Standard Test Species,41000
121755,352,Heteropneustes_fossilis,Fish,45300
121755,134,Oreochromis_mossambicus,Fish,5620
121755,34,Oncorhynchus_clarkii,Fish,282
63252,79,Pteronarcella_badia,Insects/Spiders,5
2921882,82,Salvelinus_namaycush,Fish;Standard Test Species,98
2921882,65263,Palaemon_pugio,Crustaceans;Standard Test Species,0.69
2921882,4665,Ampelisca_abdita,Crustaceans;Standard Test Species,0.39
121755,7,Gammarus_fasciatus,Crustaceans;Standard Test Species,0.5
2921882,3004,Artemia_franciscana,Crustaceans,18000
63252,5947,Aphytis_melinus,Insects/Spiders,7590
2921882,16837,Spodoptera_exigua,Insects/Spiders,547000000
63252,1640,Lymnaea_acuminata,Molluscs,14000
2921882,5428,Culex_melanurus,Insects/Spiders,0.46
2921882,2143,Menidia_peninsulae,Fish;Standard Test Species,0.9
2921882,2805,Neoplea_striola,Insects/Spiders,6.18
2921882,17167,Xanthocnemis_zealandica,Insects/Spiders,8.44
2921882,1378,Goeldichironomus_holoprasinus,Insects/Spiders,380
121755,80,Thalassoma_bifasciatum,Fish,27
121755,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,323.61
121755,62160,Hamiota_subangulata,Molluscs;U.S. Threatened and Endangered Species,32000
63252,4810,Gila_elegans,Fish;U.S. Threatened and Endangered Species,6100
2921882,11739,Gobiocypris_rarus,Fish,6380
2921882,2143,Menidia_peninsulae,Fish;Standard Test Species,3.9
63252,202,Labeo_rohita,Fish,1870
63252,1194,Rhinella_arenarum,Amphibians,24640
2921882,16846,Helicoverpa_armigera,Insects/Spiders;U.S. Invasive Species,46000
2921882,1654,Leuresthes_tenuis,Fish,1.8
63252,1920,Lithobates_clamitans_ssp._clamitans,Amphibians,26010
121755,108,Hydropsyche_californica,Insects/Spiders,22.5
121755,294,Lymnaea_stagnalis,Molluscs;Standard Test Species,13300
2921882,31437,Culex_tritaeniorhynchus_ssp._summorosus,Insects/Spiders,0.54
2921882,4612,Amphiascus_tenuiremis,Crustaceans;Standard Test Species,8.37
63252,68,Salmo_salar,Fish;Standard Test Species;U.S. Threatened and Endangered Species,1270
121755,1049,Culex_pipiens_ssp._quinquefasciata,Insects/Spiders,25.7
121755,230,Aedes_aegypti,Insects/Spiders;Standard Test Species,311.95
2921882,3015,Chaoborus_obscuripes,Insects/Spiders,0.61
2921882,16846,Helicoverpa_armigera,Insects/Spiders;U.S. Invasive Species,4000
63252,142,Americamysis_bahia,Crustaceans;Standard Test Species,19
121755,1044,Amphipoda,Crustaceans,1
121755,397,Culex_quinquefasciatus,Insects/Spiders,61090
