species,k_M,E_m,lambda_max,g,T_A,T_typical,Ww_i,CTmax,CTmin,lat,class
Hemiphaga_novaeseelandiae,0.33605777017314575,377686.5228614915,0.0065819472995701745,0.01958576138911766,9000.0,313.78,584.5750502792487,30.0,20.0,-40.72,Aves
Heterocephalus_glaber,0.02951206378443001,6702.181971863714,0.04451949646914339,1.5085185771599954,8000.0,305.25,34.86309902206139,37.0,31.0,-2.45,Mammalia
Heterohyrax_brucei,0.09041718742320583,170670.5213180304,0.0055659094895632345,0.06155809142250235,8000.0,309.84999999999997,2440.153350702459,,25.0,,Mammalia
Heteromys_anomalus,1.0047938867053654,337812.3858040535,0.02343649085037675,0.02332467500098257,8000.0,308.34999999999997,69.1777558718396,,26.0,,Mammalia
Heteronotia_binoei,0.004169493736572761,6240.990878819182,0.005891902609247364,1.413097843886051,14065.0,299.15,3.8168794056438164,40.6,9.6,-22.82,Lepidosauria
Hipposideros_cervinus,0.056990895138680005,32828.174947064,0.021814916343699784,0.38277897356439117,8000.0,308.65,6.813771824135625,,31.0,,Mammalia
Hipposideros_diadema,0.10100991607700137,69325.53493441777,0.014373566686783346,0.14229857072474114,8000.0,308.65,50.23465422734023,34.0,29.0,-5.21,Mammalia
Hipposideros_galeritus,0.06416398064654802,30327.108840242297,0.02206905640484976,0.34394774424016444,8000.0,308.65,7.951937138067158,32.0,29.0,3.86,Mammalia
Hipposideros_maggietaylorae,0.08241222769034176,32898.32836060428,0.02485281385281385,0.30156706776810566,8000.0,308.65,8.883126178786988,,30.0,,Mammalia
Histiotus_velatus,0.02645984093646988,20947.34986057557,0.01745813838955922,0.659797556284493,8000.0,307.95,17.291612490312303,31.0,25.0,-20.49,Mammalia
Holbrookia_maculata,0.047547200854165195,21291.22149474536,0.019440502187353575,0.4088674377905164,9600.0,297.15,7.296120719908301,46.5,,34.1,Lepidosauria
Hybognathus_placitus,0.08777532117397222,21477.934024416572,0.022207754063050707,0.25300681063911523,8000.0,295.15,24.42447638594955,28.37,,34.2,Actinopteri
Hydrochoerus_hydrochaeris,0.0034510442960809344,2100.9309410261953,0.013649625455659155,3.9552159533738545,8000.0,310.25,106815.80726998474,33.0,22.0,7.15,Mammalia
Hylarana_erythraea,0.37651816523830495,198206.66245253186,0.014202092631887023,0.03771954169302368,8000.0,297.15,81.0790941962143,34.8,,14.09,Amphibia
Hylophylax_naevioides,1.9424819586835838,533939.8492368441,0.026786605864926944,0.01378988656506245,9000.0,313.34999999999997,18.19277845744517,34.0,30.0,9.0,Aves
Hymenolaimus_malacorhynchos,0.08912073535278282,89751.89563940238,0.008326329595032251,0.09342752348342534,9000.0,313.15,778.5508933343249,,12.0,,Aves
Hypentelium_nigricans,0.004898839836795517,11219.716573377214,0.002679134881584197,0.5468917071876966,8000.0,286.15,1985.1845910067227,30.8,,43.0,Actinopteri
Hypomesus_nipponensis,0.10809498420397484,30875.61840935255,0.021695610988317016,0.20070876690612655,11850.0,283.15,30.606955056974183,29.0,2.5,38.1,Actinopteri
Hystrix_africaeaustralis,0.008496548304787787,4340.014713389055,0.016617804864273725,1.955830093369754,8000.0,310.65,12032.95898450738,27.0,24.0,-32.22,Mammalia
Ictalurus_punctatus,0.008979980036101785,619.2872122683691,0.08267871411887638,9.20700422344895,9000.0,293.15,20589.741197258336,31.32,,34.2,Actinopteri
Ictiobus_bubalus,0.0035674147498813507,11463.856348337502,0.0029501308066636842,0.8269660282034219,8000.0,291.15,15901.44329570311,29.5,,34.2,Actinopteri
Isoodon_obesulus,0.19848432840127497,178094.74332825944,0.008746557399073016,0.04406674053071906,8000.0,309.04999999999995,707.2838426689866,,25.0,,Mammalia
Isthmomys_pirrensis,0.13412602476186336,83815.01689862435,0.012819294719532248,0.09557649041110786,8000.0,310.65,137.86927400223465,34.0,32.0,7.52,Mammalia
Jaculus_orientalis,0.3288502120331849,177964.95171917448,0.01542800593765463,0.04691499464837737,8000.0,308.75,161.14018346162652,33.0,28.0,32.5,Mammalia
Kerodon_rupestris,0.11835280506959424,165954.98292349893,0.006263057790782735,0.052918541196382375,8000.0,311.34999999999997,999.3805458377353,36.0,27.0,-12.31,Mammalia
Kobus_ellipsiprymnus,0.0039614152027513255,30041.478620232087,0.0012080607821506812,0.3049568702901038,8000.0,311.84999999999997,178340.86236865452,37.0,13.0,-0.16,Mammalia
